aid,answer,feature
1,"图书馆各个地点开馆时间：图书借阅区(I)I(B)(II)(III)(IV):周一至周六8:30-17:00,图书借阅区(V):周一至周五8:30-17:00.阅览室:周一至周日8:30-21:45.自修室、教师工作室:周一至周日7:00-22:00.注：图书借阅区、阅览室每周二上午闭馆，下午14:00正常开放.",图书馆 开放时间
2,图书馆采用一门式管理方式，读者凭借读者证进入图书馆及获取各项服务。读者证仅限本人使用，不得转借他人或委托他人使用。若读者证丢失请尽快登陆“我的图书馆”自行挂失，并到图书馆咨询室（老馆218）办理补正。读者证丢失补办期间，可凭借学生证登记入馆。,图书馆 进入许可
3,"欢迎进入图书馆网站：http://lib.neuq.edu.cn/index.htm“馆内新闻”板块查看，或关注""东北大学秦皇岛分校图书馆""的微信公众号获得最新活动详情",图书馆 活动
4,位于河北省秦皇岛市经济技术开发区泰山路143号，从学校主门(东门)进入右转到达。,图书馆 位置
5,图书馆邮编为：066004,图书馆 邮政编码
6,图书馆始建于1976年，1993年更名为东北大学秦皇岛分校图书馆。图书馆是学校的文献信息资源中心，是为人才培养和科学研究服务的学术性机构，是学校信息化建设的重要组成部分，是校园文化和社会文化建设的重要基地。截至2018年底，图书馆总面积15887平米，馆藏纸质图书89.76万余册，电子图书299.74万余册，印刷版中外文期刊474种，中外文数据库153个。设有阅览座位2004个，周开馆时间87小时，网络服务7×22小时不间断，实现藏、借、阅、网一体化的管理与服务模式，为师生提供了良好的阅读和学习环境,图书馆 简介
7,图书馆官网为http://lib.neuq.edu.cn/index.htm,图书馆 官网
8,1.可以进行电话咨询，图书馆总机电话8063647；流通典藏部分机号8218；信息系统部分机号8412；采编部分机号8406；阅览部电话8059070。2.可进行当面咨询，设有借阅区服务台（老馆218），由图书馆老师倾听读者的意见和建议，解答读者提出的各种问题。,图书馆 咨询
9,您可以使用图书馆的OPAC系统查询，也可以使用图书馆微信公众号的检索系统查询哦~,图书馆 馆藏
10,图书馆的微信公众号为“东北大学秦皇岛分校图书馆”,图书馆 公众号
11,你好，图书馆的电话是8063646,图书馆 联系方式
12,你好，你可以登录图书馆官网，通过数字资源页面进行使用,图书馆 数字资源
13,图书馆的书包柜由读者资助使用，离馆是应及时取走所存物品！,馆内资源 使用
14,你好，你可以到图书馆总台咨询老师。,图书馆 失物招领
