qid,content
1,图书馆的开馆时间是什么时候
1,什么时候能进图书馆
1,图书馆是什么时候开放
1,什么时候图书馆开馆
1,图书馆开放时间
1,图书馆几点开门
1,图书馆开馆时间
2,图书馆进入许可
2,如何进入图书馆
2,没有校园卡可以进入图书馆吗
2,要带什么证件才能进图书馆
2,不是学生能进图书馆吗
2,校外的人能进图书馆吗
2,外人能进图书馆吗
2,怎么进入图书馆
3,图书馆活动
3,最近图书馆有什么活动
3,图书馆在举办什么活动
3,我想知道图书馆的活动信息
3,我可以在哪里查看图书馆的活动
3,图书馆有什么活动
4,图书馆位置
4,图书馆的位置在哪里
4,我想知道图书馆的位置
4,我该怎么去图书馆
4,我怎么找到图书馆
4,图书馆在什么地方
4,图书馆在哪里
5,图书馆邮政编码
5,图书馆邮编
5,图书馆的邮政编码是多少
5,图书馆的邮编是多少
5,我想知道图书馆邮政编码
5,我想知道图书馆邮编
6,介绍一下图书馆
6,介绍一下图书馆的历史
6,图书馆历史
6,图书馆概况
6,介绍一下图书馆的概况
7,图书馆官网
7,图书馆的官网是什么
7,我们学校图书馆有官网吗
7,我们学校图书馆有官方网站吗
7,图书馆的官方网站是什么
8,图书馆咨询
8,如何咨询图书馆问题
8,我要怎么咨询图书馆问题
8,找谁问图书馆的问题
8,怎么咨询图书馆的问题
8,怎么询问有关图书馆的问题
9,图书馆馆藏
9,图书馆馆藏怎么找
9,馆藏怎么查询
9,馆藏怎么搜索
9,我要怎么搜索书籍
9,我要怎么找想要的书
10,图书馆微信公众号
10,我想知道图书馆的微信公众号
10,图书馆的公众号是多少
11,图书馆联系方式
11,图书馆电话是多少
11,图书馆电话
11,怎么联系图书馆
12,我要怎么找数字资源
12,怎么使用图书馆的电子资源
12,图书馆数字资源
12,图书馆有什么数字资源
12,我要怎么找电子资源
12,怎么使用图书馆的电子资源
12,图书馆电子资源
12,图书馆有什么电子资源
13,图书馆的书包柜怎么用
13,书包柜怎么使用
13,我怎么用书包柜
14,失物招领处在哪里
14,我丢了东西怎么办
14,我怎么在图书馆找到自己遗失的物品
14,我在图书馆丢东西了怎么办
14,图书馆失物招领
14,图书馆有失物招领处吗
14,图书馆有失物招领的地方吗
15,校园卡办理
15,校园卡如何办理
15,怎么办理校园卡
15,校园一卡通怎么办理
15,校园一卡通如何办理
16,校园卡怎么挂失
16,怎么挂失校园卡
16,一卡通怎么挂失
16,校园一卡通怎么挂失
16,校园卡丢了怎么办
16,校园卡挂失
17,读者证办理
17,读者证怎么办理
17,读者证如何办理
18,读者证怎么挂失
18,怎么挂失读者证
18,读者证怎么挂失
18,读者证丢了怎么办
18,读者证挂失
19,老馆位置
19,我要怎么找图书馆老馆
19,老馆的位置在哪里
19,我想知道老馆的位置
19,老馆在什么地方
19,老馆在哪里
19,哪个是老馆
20,新馆位置
20,新馆的位置在哪里
20,我想知道新馆的位置
20,新馆在什么地方
20,新馆在哪里
20,哪个是新馆
21,老馆的开馆时间是什么时候
21,老馆是什么时候开馆
21,老馆是什么时候开放
21,什么时候老馆开馆
21,老馆开放时间
21,老馆几点开门
21,老馆开馆时间
22,新馆的开馆时间是什么时候
22,新馆是什么时候开馆
22,新馆是什么时候开放
22,什么时候新馆开馆
22,新馆几点开门
22,新馆开放时间
22,新馆开馆时间
23,图书借阅区位置
23,图书借阅区的位置在哪里
23,我想知道图书借阅区的位置
23,图书借阅区在什么地方
23,图书借阅区在哪里
24,图书借阅区几点开门
24,图书借阅区什么时候开放
24,图书借阅区开放时间
